x,y,radius
262.1926555,97.2709603,0.5
293.8166637,97.02263679,0.5
313.8871011,97.09707315,0.5
3.278517663,97.59368405,0.5
252.0170745,97.41501701,0.5
156.8468476,97.85125446,0.5
167.5706981,97.85610848,0.5
216.1066653,98.36177269,0.5
342.0279503,98.36466055,0.5
64.05044192,98.65352914,0.5
153.973545,99.00478482,0.5
324.0952215,99.22778606,0.5
8.582307549,99.71429311,0.5
57.33034384,99.64402143,0.5
204.4573344,100.2738615,0.5
248.4258583,100.2679333,0.5
308.8373531,100.1241628,0.5
34.2231725,100.3567061,0.5
135.3993749,100.5054085,0.5
199.2143031,100.9780637,0.5
10.41915436,101.3302395,0.5
71.63503656,101.3569391,0.5
91.16363517,101.1251566,0.5
24.66879018,101.775635,0.5
59.50367479,101.5209305,0.5
157.7724165,101.429041,0.5
296.9387998,101.6041716,0.5
302.4056705,101.4846543,0.5
318.0934272,101.7794824,0.5
17.61870334,101.9167244,0.5
277.690417,101.966545,0.5
338.4552236,102.3856307,0.5
360.3862754,102.512091,0.5
394.8084135,102.7710231,0.5
115.2654944,102.9957236,0.5
183.2894432,103.1254639,0.5
241.6813176,102.9728617,0.5
191.2752091,103.3568814,0.5
150.8690836,103.7971669,0.5
159.6622249,103.7302208,0.5
72.63277961,104.2700238,0.5
138.9329619,104.3070612,0.5
295.6404796,104.2049702,0.5
330.7145514,104.7189749,0.5
58.06580189,105.0610687,0.5
100.7133755,104.8782146,0.5
148.2383943,105.1107291,0.5
355.3275845,104.8747061,0.5
377.3774633,104.8213919,0.5
17.16661575,105.4595385,0.5
105.1278834,105.3083654,0.5
271.0265527,105.1442047,0.5
205.6640717,106.0942222,0.5
371.7565934,105.5082839,0.5
11.24711083,106.2392381,0.5
276.8778634,106.5944806,0.5
70.30272395,106.8102189,0.5
83.2559703,106.5299475,0.5
298.7730076,106.7555566,0.5
307.7346719,106.9142941,0.5
214.8588574,107.1975057,0.5
343.4156802,107.1845611,0.5
373.7275055,107.2033907,0.5
111.4969355,107.6114101,0.5
140.5936936,107.6300424,0.5
396.3209741,107.4629204,0.5
73.05309845,107.8254766,0.5
326.9609564,107.875005,0.5
349.2579289,108.0342346,0.5
58.77703376,107.8374599,0.5
163.8708904,108.2004457,0.5
281.7373739,108.2109846,0.5
78.7438854,108.5370292,0.5
226.9028036,108.691343,0.5
264.0050267,109.502988,0.5
295.6778289,108.8773415,0.5
27.27704408,109.719699,0.5
268.4061628,109.3124056,0.5
297.894906,109.5153895,0.5
300.1408909,109.2613759,0.5
9.42855271,109.6599815,0.5
144.2783965,109.9552039,0.5
161.8538258,109.7045853,0.5
166.1372621,109.7476094,0.5
120.0285938,110.0507642,0.5
183.5531563,110.4348002,0.5
194.1130374,110.0498216,0.5
201.9468859,110.1486144,0.5
213.7051921,110.0715354,0.5
366.8253227,110.3317649,0.5
5.214170819,110.4350357,0.5
125.1842586,110.6901852,0.5
138.3099181,110.4107697,0.5
381.8897594,110.4724635,0.5
220.2842536,111.1737998,0.5
284.9112446,111.792951,0.5
100.2084296,112.0291662,0.5
180.9761954,112.2218531,0.5
64.51608689,112.337502,0.5
172.4796249,112.2799424,0.5
333.285724,112.3923296,0.5
78.83996959,112.6702676,0.5
229.9727957,112.6786982,0.5
345.9943788,112.8774215,0.5
201.3996263,113.1318874,0.5
264.4413652,113.5915836,0.5
278.5492491,114.3245652,0.5
281.9708993,114.1881317,0.5
399.009686,114.2530717,0.5
256.757744,114.5185759,0.5
48.87107961,114.9701764,0.5
74.16307603,115.239863,0.5
144.2049959,114.9271244,0.5
153.2491042,115.1256879,0.5
292.7169819,115.0360749,0.5
209.0141767,115.5634151,0.5
331.3965938,115.4683623,0.5
344.078548,115.3704819,0.5
68.4672534,115.895779,0.5
176.6059854,115.6422945,0.5
391.3217805,115.5074215,0.5
24.98060486,116.3357526,0.5
109.3019683,116.3773573,0.5
197.9015143,116.4056436,0.5
133.8467044,117.0295069,0.5
294.8603108,117.0275784,0.5
79.18891819,117.439052,0.5
204.6306567,117.144857,0.5
340.7796723,117.1417497,0.5
5.351445997,117.8679268,0.5
283.2166347,117.6936837,0.5
323.2884653,117.68076,0.5
325.9109341,117.5153655,0.5
305.8456223,118.1135431,0.5
211.9338207,118.2862458,0.5
26.96944103,118.877564,0.5
75.85813232,118.9439454,0.5
191.6589309,118.631291,0.5
342.57833,118.8903439,0.5
380.6595862,118.8385795,0.5
